"Concavity","Dimensionality","SNR","IP (mm)","ST (mm)","Step (pixels)","Fitting order","Curvature, true (m-1)","Curvature, est. (m-1)","Curvature, std.","Length, true (mm)","Length, est. (mm)","Length, std.","Pennation, true (deg)","Pennation, est. (deg)","Pennation, std.","Nq","N0"
1,2,24,1,6,0.25,2,1.997,11.4105233713254,9.48501226239598,76.2247161865234,30.5319003432505,17.3537708452594,25.4373944600423,25.2509120093227,4.22166299117321,6593,12096
1,2,24,1,6,0.25,2,5.925,12.9272288214735,8.91513962200374,71.958122253418,29.123831987381,16.7103307949731,31.7092116673787,32.7645417927939,4.69531186139081,6300,12096
1,2,24,1,6,0.25,2,9.74,14.226866345519,8.44714060883421,63.1085510253906,28.3249127956924,15.2936914375228,39.121906153361,40.0497519611649,4.45631183077249,5929,12096
1,2,24,1,6,0.25,2,13.475,14.4539561956315,6.65047044728538,54.660717010498,30.3134106787833,15.126465284276,46.4481917063395,44.849889670287,3.30742357012069,3996,12096
-1,2,24,1,6,0.25,2,1.997,11.2207399780755,8.88758185353797,76.2357711791992,30.3122563857657,17.8605876903086,21.2180894851685,18.902796406566,4.38687615166072,6707,12096
-1,2,24,1,6,0.25,2,5.925,11.8749921461877,8.2052522860336,72.209587097168,29.5556675341044,16.5691370395805,19.7598046302795,14.4247153695115,4.51504249754821,6471,12096
-1,2,24,1,6,0.25,2,9.74,14.5893126348661,8.59724592412803,63.84033203125,28.56724546786,15.3916274786424,21.5869770685832,14.3861488127212,4.91546932761028,6383,12096
-1,2,24,1,6,0.25,2,13.475,16.6255620429317,7.64557520897778,55.600341796875,28.3818133883123,14.09291574345,25.138325881958,17.2214628354749,5.48543682958098,6718,12096
1,3,24,1,6,0.25,2,1.997,12.2095654478094,8.91756329702499,76.2267227172852,27.1117192890569,14.7934907259438,24.7426647186279,24.6120276759687,4.28840810476444,4914,9072
1,3,24,1,6,0.25,2,5.925,14.4195654437512,8.94325317251033,72.0386276245117,26.0333443262935,14.5492538208466,29.3488041559855,29.9427677376335,4.26451043052486,4661,9072
1,3,24,1,6,0.25,2,9.74,15.7898046657482,9.14520055262432,63.3940315246582,25.9179777009324,14.1248284812174,35.318489519755,36.0566354021236,4.37807868270978,4612,9072
1,3,24,1,6,0.25,2,13.475,16.5843431563878,8.46480625472784,55.0172882080078,26.2509155944081,13.5349868063979,41.5925830841064,41.9728528569833,3.85985913148318,4067,9072
-1,3,24,1,6,0.25,2,1.997,12.7409135624184,9.61805835072605,76.2347106933594,26.7657869583592,14.6858570584916,21.7612741470337,19.2786242287558,4.22450084410487,4858,9072
-1,3,24,1,6,0.25,2,5.925,12.1168220857323,8.36301724388607,72.1945343017578,29.0324794282008,15.0064310082394,20.9595585505168,16.7807460697401,4.45694877482906,4795,9072
-1,3,24,1,6,0.25,2,9.74,14.4708757134515,8.13193412488986,63.8085746765137,27.8822522774423,14.4656298475309,23.1213272730509,17.5601436025422,4.85992362195402,4932,9072
-1,3,24,1,6,0.25,2,13.475,15.8726694011506,7.89932508043124,55.5586280822754,28.3081047431658,14.0791431340386,26.9262369155884,21.0350862305515,4.88505034171877,4963,9072
1,2,24,1.5,4.5,0.25,2,1.997,11.0293492544979,8.99214041518104,76.2246170043945,32.3957232837278,18.5463077725158,25.4009402275085,25.5726991116689,4.40302991301473,7640,12582
1,2,24,1.5,4.5,0.25,2,5.925,12.5857385075661,8.8781114430869,71.9571914672852,32.3215943453402,17.7997063124691,31.6063610076904,32.8684486741013,4.52248534169068,7741,12584
1,2,24,1.5,4.5,0.25,2,9.74,13.8969866403068,8.26205620826024,63.1066627502441,31.6584354096098,16.2488676701657,38.9743754386902,39.4420455689208,4.49527370008219,6927,12584
1,2,24,1.5,4.5,0.25,2,13.475,14.0065671018197,6.43622041453733,54.6583251953125,34.4948262340082,15.2980129294141,46.2719604492188,44.2680544925114,3.72748276029608,5239,12594
-1,2,24,1.5,4.5,0.25,2,1.997,10.6854952150917,8.75510714592779,76.2356491088867,32.9704228585126,17.9626900343924,21.2540165901184,19.6061315495914,4.56136830392988,7637,12583
